City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,andrews,90,US,1613008409,100,32.3187,-102.5457,26.6,13.8
1,mineiros,100,BR,1613008374,95,-17.5694,-52.5511,66.24,3.04
2,severo-kurilsk,100,RU,1613008239,91,50.6789,156.125,28,19.55
3,mataura,100,NZ,1613008162,87,-46.1927,168.8643,50.25,13.06
4,lakselv,90,NO,1613008413,86,70.0513,24.9718,19.4,4.61
5,ushuaia,40,AR,1613008160,42,-54.8,-68.3,68,10.36
6,gushikawa,90,JP,1613008416,72,26.3544,127.8686,66.2,23.02
7,sao joao da barra,96,BR,1613008417,88,-21.6403,-41.0511,74.95,2.82
8,qaanaaq,98,GL,1613008158,75,77.484,-69.3632,10.18,9.71
9,hermanus,0,ZA,1613008161,86,-34.4187,19.2345,69.01,3
10,port alfred,12,ZA,1613008029,94,-33.5906,26.891,71.01,4.34
11,vaini,40,TO,1613008161,74,-21.2,-175.2,86,11.5
12,nikolskoye,20,RU,1613008159,85,59.7035,30.7861,7,3.96
13,atuona,2,PF,1613008163,80,-9.8,-139.0333,78.71,17.25
14,yellowknife,20,CA,1613007953,77,62.456,-114.3525,-11.2,4.61
15,saskylakh,0,RU,1613008168,83,71.9167,114.0833,-22.99,6.55
16,batouri,62,CM,1613008392,33,4.4333,14.3667,67.69,1.19
17,bredasdorp,8,ZA,1613008163,94,-34.5322,20.0403,62.6,2.3
18,dalianwan,40,CN,1613008432,100,39.0286,121.695,33.8,6.71
19,san andres,20,CO,1613008433,74,12.5847,-81.7006,80.6,8.05
20,bluff,100,NZ,1613008170,87,-46.6,168.3333,52.83,30.49
21,san cristobal,36,VE,1613007927,89,7.7669,-72.225,64.94,1.9
22,new norfolk,93,AU,1613008169,32,-42.7826,147.0587,75,1.99
23,los llanos de aridane,0,ES,1613008440,72,28.6585,-17.9182,62.6,6.91
24,rikitea,3,PF,1613008160,78,-23.1203,-134.9692,78.6,14.2
25,barrow,1,US,1613008167,85,71.2906,-156.7887,-34.6,8.05
26,agirish,0,RU,1613008444,85,61.9247,63.0231,-23.75,4.65
27,puerto ayora,74,EC,1613008173,98,-0.7393,-90.3518,75,5.86
28,jamestown,90,US,1613008158,79,42.097,-79.2353,19,4.61
29,port elizabeth,75,ZA,1613007874,94,-33.918,25.5701,73.4,2.3
30,chokurdakh,74,RU,1613008169,89,70.6333,147.9167,-12.35,6.91
31,albany,100,US,1613007939,46,42.6001,-73.9662,23,1.99
32,luderitz,94,NA,1613008169,78,-26.6481,15.1594,66.15,2.46
33,date,49,JP,1613008454,88,42.4681,140.8681,30.13,7.81
34,airai,97,TL,1613008184,80,-8.9266,125.4092,72.99,2.06
35,castro,100,BR,1613008160,98,-24.7911,-50.0119,60.49,7.45
36,dikson,2,RU,1613008176,87,73.5069,80.5464,-22.18,6.55
37,punta arenas,75,CL,1613008085,82,-53.15,-70.9167,55.4,10.36
38,camara de lobos,75,PT,1613008460,82,32.6333,-16.9667,62.6,5.55
39,kaitangata,100,NZ,1613008228,63,-46.2817,169.8464,57,32.01
40,jega,0,NG,1613008465,20,12.2175,4.3792,71.26,8.08
41,tura,0,IN,1613007923,42,25.5198,90.2201,66.9,1.36
42,langres,90,FR,1613008468,68,47.8333,5.3333,24.8,9.22
43,cayenne,90,GF,1613007950,100,4.9333,-52.3333,75.2,2.3
44,waipawa,8,NZ,1613008221,52,-41.4122,175.5153,68,26.46
45,hobart,0,AU,1613008210,40,-42.8794,147.3294,75,4.61
46,kupang,75,ID,1613008473,84,-10.1667,123.5833,84.2,11.5
47,alyangula,75,AU,1613008474,74,-13.8483,136.4192,86,9.22
48,swift current,1,CA,1613008475,69,50.2834,-107.8014,-22,8.05
49,bengkulu,3,ID,1613008164,65,-3.8004,102.2655,81.97,1.74
50,pimentel,100,PE,1613008162,83,-6.8367,-79.9342,73,3
51,uyuni,63,BO,1613008479,42,-20.4597,-66.825,52.63,10.87
52,boca do acre,100,BR,1613008480,95,-8.7522,-67.3978,73.96,3.24
53,busselton,81,AU,1613008167,65,-33.65,115.3333,66,4
54,tuktoyaktuk,20,CA,1613008177,69,69.4541,-133.0374,-23.8,18.41
55,kapaa,40,US,1613008158,53,22.0752,-159.319,75.2,10.36
56,imeni poliny osipenko,23,RU,1613008486,91,52.4201,136.4853,5.58,5.93
57,provideniya,0,RU,1613008166,64,64.3833,-173.3,-7.6,22.37
58,ochiltree,0,GB,1613008490,86,55.4597,-4.3626,24.8,6.91
59,gidole,100,ET,1613008491,74,5.65,37.3667,60.98,4.72
60,thompson,40,CA,1613007904,76,55.7435,-97.8558,-23.8,6.91
61,touros,40,BR,1613008164,83,-5.1989,-35.4608,80.6,8.05
62,silver city,90,US,1613008495,22,32.7701,-108.2803,51.8,6.91
63,ancud,0,CL,1613008178,63,-41.8697,-73.8203,66.99,6.91
64,viedma,9,AR,1613008240,72,-40.8135,-62.9967,66,19.06
65,sonqor,0,IR,1613008499,93,34.7837,47.6004,33.8,3.15
66,rock sound,88,BS,1613008500,78,24.9,-76.2,75.27,17.81
67,cape town,0,ZA,1613008057,88,-33.9258,18.4232,68,11.5
68,panjab,0,AF,1613008168,73,34.388,67.0233,12.04,4.7
69,bethel,100,US,1613007929,68,41.3712,-73.414,24.01,1.3
70,vostok,6,RU,1613008181,92,46.4856,135.8833,15.69,2.93
71,saint-philippe,40,RE,1613008174,69,-21.3585,55.7679,77,4.61
72,saint george,40,US,1613008211,25,37.1041,-113.5841,62.6,11.5
73,balkhash,0,KZ,1613008208,84,46.844,74.9804,-2.2,8.95
74,praia da vitoria,20,PT,1613008166,76,38.7333,-27.0667,55.4,27.49
75,havoysund,75,NO,1613008512,93,70.9963,24.6622,26.6,6.91
76,victoria,0,HK,1613008082,82,22.2855,114.1577,63,1.99
77,borovoy,20,RU,1613008515,76,55.4333,86.0833,-18.4,8.95
78,pevek,0,RU,1613008179,70,69.7008,170.3133,-14.62,0.54
79,mar del plata,90,AR,1613008127,83,-38.0023,-57.5575,68,16.11
80,gornyy,66,RU,1613008518,86,55.1153,83.9059,-26.27,10.04
81,arraial do cabo,100,BR,1613008183,82,-22.9661,-42.0278,74.59,5.48
82,plast,98,RU,1613008521,92,54.3691,60.8136,-7.4,4.88
83,yanam,64,IN,1613008522,88,16.7333,82.2167,69.8,6.91
